event_id,source,domain,event_date,title,summary,source_url,evidence_urls,quality_flags,filter_reason,fetched_at
caebd59bb20b21aa181f,wikipedia_current_events,conflict,2026-05-01,2025–2026 Iran–United States negotiations,State media IRNA reports that Iran has sent a proposal for negotiations with the United States to mediators from Pakistan in an effort to end the Iran war.,https://en.wikipedia.org/wiki/Portal:Current_events/2026_May_1,https://www.reuters.com/world/asia-pacific/uae-says-iran-cannot-be-trusted-over-hormuz-peace-efforts-an-impasse-2026-05-01/,weak_event_signal,,2026-05-12T13:14:59.820178+00:00
694d14ee16ac5d6e41af,wikipedia_current_events,other,2026-05-01,2025–2026 Turkish protests,"Turkish police arrest at least 57 people and use tear gas to disperse May Day demonstrators in Istanbul, where authorities block access to Taksim Square to prevent marches.",https://en.wikipedia.org/wiki/Portal:Current_events/2026_May_1,https://www.freemalaysiatoday.com/category/world/2026/05/01/turkish-cops-fire-tear-gas-arrest-dozens-at-may-day-rallies,weak_event_signal,,2026-05-12T13:14:59.835713+00:00
584fb2017c3586d7cd80,wikipedia_current_events,politics,2026-05-01,2026 Antiguan general election,"Official results from yesterday's election indicated that the ABLP led by Antiguan prime minister Gaston Browne won 15 of 17 seats, while UPP leader Jamale Pringle and BPM leader Trevor Walker each retained their own seats. Browne is sworn in for a fourth term in office. (Antigua.news)",https://en.wikipedia.org/wiki/Portal:Current_events/2026_May_1,https://antigua.news/2026/05/01/pm-browne-and-ag-benjamin-officially-sworn-in-following-election-victory/; https://apnews.com/article/antigua-barbuda-gaston-browne-reelection-d447535a8fdd8eeb9969449812a88dfa,,,2026-05-12T13:14:59.839842+00:00
323a6af7f2c67bf3b17e,wikipedia_current_events,conflict,2026-05-01,2026 Golders Green attack,"A 45-year-old man is charged with three counts of attempted murder after attacking three people in London, England, on Wednesday.",https://en.wikipedia.org/wiki/Portal:Current_events/2026_May_1,https://www.bbc.com/news/articles/c3r2lr434wlo,weak_event_signal,,2026-05-12T13:14:59.825019+00:00
56b311be9b53547b3bd5,wikipedia_current_events,conflict,2026-05-01,2026 Iran war,State media IRNA reports that Iran has sent a proposal for negotiations with the United States to mediators from Pakistan in an effort to end the Iran war.,https://en.wikipedia.org/wiki/Portal:Current_events/2026_May_1,https://www.reuters.com/world/asia-pacific/uae-says-iran-cannot-be-trusted-over-hormuz-peace-efforts-an-impasse-2026-05-01/; https://www.straitstimes.com/world/middle-east/uss-gerald-r-ford-aircraft-carrier-leaves-middle-east; https://www.timesofisrael.com/board-of-peace-denies-plans-to-shut-down-ceasefire-coordination-hq-in-israels-south/,weak_event_signal,,2026-05-12T13:14:59.820178+00:00
c30f447214b0c520118b,wikipedia_current_events,conflict,2026-05-01,2026 Iran war ceasefire,State media IRNA reports that Iran has sent a proposal for negotiations with the United States to mediators from Pakistan in an effort to end the Iran war.,https://en.wikipedia.org/wiki/Portal:Current_events/2026_May_1,https://www.reuters.com/world/asia-pacific/uae-says-iran-cannot-be-trusted-over-hormuz-peace-efforts-an-impasse-2026-05-01/,,,2026-05-12T13:14:59.820178+00:00
ff174d5c00cfb0ec9b82,wikipedia_current_events,conflict,2026-05-01,2026 Mali attacks,"Jihadist group Jama'at Nusrat al-Islam wal-Muslimin takes over a base outside of Tessalit, Kidal Region, Mali, after it is abandoned by Malian troops and Russia 's Africa Corps.",https://en.wikipedia.org/wiki/Portal:Current_events/2026_May_1,https://www.barrons.com/news/rebels-take-key-military-camp-in-mali-s-north-f5fdc5a1,weak_event_signal,,2026-05-12T13:14:59.825019+00:00
de716377514400e24329,wikipedia_current_events,other,2026-05-01,2026 May Day protests,"Turkish police arrest at least 57 people and use tear gas to disperse May Day demonstrators in Istanbul, where authorities block access to Taksim Square to prevent marches.",https://en.wikipedia.org/wiki/Portal:Current_events/2026_May_1,https://english.news.cn/asiapacific/20260501/f5c1c4a19a2f42a39085ec7cc1dc09a5/c.html; https://newsinfo.inquirer.net/2221850/police-protesters-clash-over-cops-hurt-at-labor-day-rally-effigy-burningq; https://time.com/article/2026/05/01/may-day-international-workers-day-protests-rallies-marches-us/; https://www.commondreams.org/news/may-day-protests-2026; https://www.freemalaysiatoday.com/category/world/2026/05/01/turkish-cops-fire-tear-gas-arrest-dozens-at-may-day-rallies; https://www.pbs.org/newshour/economy/what-to-know-about-may-day-as-workers-face-rising-costs-due-to-iran-war; https://www.theguardian.com/us-news/2026/may/01/may-day-strong-economic-protests,weak_event_signal,,2026-05-12T13:14:59.830267+00:00
7387c8ac57392455295d,wikipedia_current_events,conflict,2026-05-01,2026 United States military buildup in the Middle East,"USS Gerald R. Ford officially exits the Middle East after taking part in operations in Iran during the war, leaving only the USS Abraham Lincoln and USS George H. W. Bush in the region.",https://en.wikipedia.org/wiki/Portal:Current_events/2026_May_1,https://www.straitstimes.com/world/middle-east/uss-gerald-r-ford-aircraft-carrier-leaves-middle-east,weak_event_signal,,2026-05-12T13:14:59.820178+00:00
855034f58a0673541dc2,wikipedia_current_events,politics,2026-05-01,ABLP,"Official results from yesterday's election indicated that the ABLP led by Antiguan prime minister Gaston Browne won 15 of 17 seats, while UPP leader Jamale Pringle and BPM leader Trevor Walker each retained their own seats. Browne is sworn in for a fourth term in office. (Antigua.news)",https://en.wikipedia.org/wiki/Portal:Current_events/2026_May_1,https://antigua.news/2026/05/01/pm-browne-and-ag-benjamin-officially-sworn-in-following-election-victory/; https://apnews.com/article/antigua-barbuda-gaston-browne-reelection-d447535a8fdd8eeb9969449812a88dfa,,,2026-05-12T13:14:59.839842+00:00
b396f24208847a93ddcd,wikipedia_current_events,conflict,2026-05-01,Al Qaeda,Al Qaeda -linked insurgents call for Malians to rise up against the Mali military junta and transition to Sharia law.,https://en.wikipedia.org/wiki/Portal:Current_events/2026_May_1,https://www.reuters.com/world/africa/al-qaeda-linked-insurgents-call-malians-rise-up-establish-sharia-law-2026-05-01/,weak_event_signal,,2026-05-12T13:14:59.825019+00:00
93d6cda5a62807a4e4a2,wikipedia_current_events,conflict,2026-05-01,Alice Springs,"Members of Alice Springs ' Aboriginal community in Northern Territory, Australia, clash with police outside a hospital where a man charged with the murder of a five-year-old Warlpiri girl is being treated, demanding the suspect be punished under traditional law. This follows a five-day search for the missing girl with large community participation before she was confirmed dead.",https://en.wikipedia.org/wiki/Portal:Current_events/2026_May_1,https://www.theguardian.com/australia-news/2026/apr/30/jefferson-lewis-arrested-over-death-of-kumanjayi-little-baby-in-northern-territory,weak_event_signal,,2026-05-12T13:14:59.837816+00:00
11ad65ba161362da5b9b,wikipedia_current_events,other,2026-05-01,Amatlán de Cañas,"At least eleven people are killed and 31 others are injured when a passenger bus veers off a highway and overturns near Amatlán de Cañas, Nayarit, Mexico.",https://en.wikipedia.org/wiki/Portal:Current_events/2026_May_1,https://www.reuters.com/world/americas/least-11-dead-western-mexico-after-bus-careens-off-highway-2026-05-01/,,,2026-05-12T13:14:59.830267+00:00
