question,options,prediction_date,ground_truth,resolution_detail,question_id,event_id,domain,event_name,event_summary,source_urls,risk_flags,review_status,review_notes
"As of 2026-04-29, how many of the 17 seats will Gaston Browne's ABLP win in the 2026 Antiguan general election?",A. 0-5 seats; B. 6-10 seats; C. 11-15 seats; D. 16-17 seats,2026-04-29,C,"Official results showed that the ABLP won 15 of the 17 seats, placing it in the 11-15 seats range.",112fd9ad6b324c1138b8,584fb2017c3586d7cd80,politics,2026 Antiguan general election,"2026-05-01 | wikipedia_current_events | 2026 Antiguan general election | Official results from yesterday's election indicated that the ABLP led by Antiguan prime minister Gaston Browne won 15 of 17 seats, while UPP leader Jamale Pringle and BPM leader Trevor Walker each retained their own seats. Browne is sworn in for a fourth term in office. (Antigua.news)",https://en.wikipedia.org/wiki/Portal:Current_events/2026_May_1; https://antigua.news/2026/05/01/pm-browne-and-ag-benjamin-officially-sworn-in-following-election-victory/; https://apnews.com/article/antigua-barbuda-gaston-browne-reelection-d447535a8fdd8eeb9969449812a88dfa,,unreviewed,
"As of 2026-05-01, what will be the result margin of the 2025â26 Polish Cup final between GÃ³rnik Zabrze and RakÃ³w CzÄstochowa?",A. GÃ³rnik Zabrze wins by 2 or more goals; B. GÃ³rnik Zabrze wins by 1 goal; C. RakÃ³w CzÄstochowa wins by 1 goal; D. RakÃ³w CzÄstochowa wins by 2 or more goals; E. The cup is decided by a penalty shootout after a draw,2026-05-01,A,"GÃ³rnik Zabrze defeated RakÃ³w CzÄstochowa 2â0 in the final, a two-goal winning margin for GÃ³rnik Zabrze.",340543750978148c4648,8c16c6cc50216f9b1b0d,sports,2025â26 Polish Cup final,"2026-05-02 | wikipedia_current_events | 2025–26 Polish Cup | In association football, Górnik Zabrze beats Raków Częstochowa 2–0 in the final to win their 7th Polish Cup.","https://en.wikipedia.org/wiki/Portal:Current_events/2026_May_2; https://www.polskieradio.pl/395/7790/Artykul/3681620,football-gornik-zabrze-triumphs-in-polish-cup-final",,unreviewed,
"As of 2026-05-01, which official win-odds range will contain the winner of the 152nd Kentucky Derby on May 2, 2026?",A. Less than 10-1 odds; B. 10-1 through 19-1 odds; C. 20-1 through 29-1 odds; D. 30-1 odds or longer,2026-05-01,C,"Golden Tempo won the 152nd Kentucky Derby after entering the race at 24-1 odds, which falls in the 20-1 through 29-1 range.",35b719cb80a0a88d2e27,fd2805c7d5c9236b245d,sports,2026 Kentucky Derby,"2026-05-02 | wikipedia_current_events | 2026 Kentucky Derby | In horse racing, American horse Golden Tempo wins the 152nd Kentucky Derby after entering the race with 24–1 odds, making Cherie DeVaux the first female trainer to win the derby.",https://en.wikipedia.org/wiki/Portal:Current_events/2026_May_2; https://www.nbcnews.com/sports/horse-racing/live-blog/kentucky-derby-2026-live-updates-rcna341955,,unreviewed,
"As of 2026-05-03, what formal public outcome will Australia and Japan announce from their May 4, 2026 talks on energy and critical minerals?","A. No formal public outcome on energy or critical minerals; B. A public statement or pledge only, with no signed agreement; C. Signed agreement(s) or memorandum(s) covering energy or critical minerals",2026-05-03,C,"On May 4, 2026, Australia and Japan signed agreements on energy and critical minerals, placing the outcome in the signed-agreement category.",b595f93c194343e7e520,e911b29b5577a97c1947,politics,Australia-Japan energy and critical minerals talks,2026-05-04 | wikipedia_current_events | Australia | Australia and Japan sign agreements on energy and critical minerals.,https://en.wikipedia.org/wiki/Portal:Current_events/2026_May_4; https://www.reuters.com/business/energy/japan-pm-takaichi-set-talks-with-australias-albanese-energy-security-2026-05-04/,,unreviewed,
"As of 2026-02-28, what passenger-traffic change range will Dubai International Airport report for March 2026 amid Middle East air-traffic disruption?",A. Increase or less than 10% decline; B. 10% to 29% decline; C. 30% to 59% decline; D. 60% or greater decline,2026-02-28,D,"Dubai International Airport reported a 66% drop in passenger traffic for March 2026, placing the result in the 60% or greater decline range.",df2e311e10fde01deb8e,0a10bd42a34ce801ba84,public_risk,Dubai International Airport March 2026 passenger traffic report,"2026-05-04 | wikipedia_current_events | Dubai International Airport | The Dubai International Airport in Dubai, United Arab Emirates, reports a 66% drop in passenger traffic in March 2026 amidst a disruption of air traffic in the Middle East due to the Iran war.",https://en.wikipedia.org/wiki/Portal:Current_events/2026_May_4; https://www.bloomberg.com/news/articles/2026-05-04/dubai-airport-passenger-traffic-drops-66-in-march-on-iran-war,,unreviewed,
"As of 2026-05-04, how many votes in favor will the Parliament of Romania record on the May 5, 2026 no-confidence motion against Prime Minister Ilie Bolojan?",A. 0-233 votes in favor; B. 234-279 votes in favor; C. 280-329 votes in favor; D. 330 or more votes in favor,2026-05-04,C,"The Parliament of Romania passed the no-confidence motion by a 281-4 vote, placing the number of votes in favor in the 280-329 range.",1b0c8b4e590b311610ec,df015b20fb64c4cc5176,politics,Romanian no-confidence motion against Prime Minister Ilie Bolojan,"2026-05-05 | wikipedia_current_events | Parliament of Romania | The Parliament of Romania votes 281–4 to pass a motion of no confidence, called by the Social Democratic Party and Alliance for the Union of Romanians, against prime minister Ilie Bolojan. (AP)",https://en.wikipedia.org/wiki/Portal:Current_events/2026_May_5; https://apnews.com/article/romania-government-no-confidence-motion-european-union-cae251a0ef62c9941d9355c0b2c927ea; https://www.france24.com/en/europe/20260505-romania-s-pro-eu-coalition-government-collapses-after-prime-minister-loses-no-confidence-vote,,unreviewed,
"As of 2026-05-04, which maximum prison-sentence category, if any, will apply to the Protection of Sovereignty Bill version passed by Uganda's Parliament by the end of May 5, 2026?","A. No version passed by Parliament by the end of May 5, 2026; B. Passed version with no prison sentence; C. Passed version with a maximum sentence of more than 0 and up to 5 years; D. Passed version with a maximum sentence of more than 5 and up to 10 years; E. Passed version with a maximum sentence of more than 10 years",2026-05-04,D,"On May 5, 2026, Uganda's Parliament passed the Protection of Sovereignty Bill with penalties of up to 10 years' imprisonment, placing it in the more than 5 and up to 10 years category.",3bec2d4ff9aa400331b8,058581c0f800b3c5e4c2,politics,Ugandan Parliament vote on the Protection of Sovereignty Bill,"2026-05-05 | wikipedia_current_events | Ugandan | The Ugandan parliament passes the Protection of Sovereignty Bill, which restricts foreign involvement in policymaking without government approval and imposes penalties of up to 10 years' imprisonment for violations.",https://en.wikipedia.org/wiki/Portal:Current_events/2026_May_5; https://www.reuters.com/sustainability/society-equity/ugandan-lawmakers-pass-scaled-back-sovereignty-law-after-central-bank-warning-2026-05-06/,,unreviewed,
"As of 2026-05-06, what prison sentence length will the Seoul High Court impose on former South Korean prime minister Han Duck-soo in its appellate ruling related to the 2024 martial law declaration?",A. No prison sentence; B. More than 0 years but less than 10 years; C. 10 years to less than 20 years; D. 20 years or more,2026-05-06,C,"On May 7, 2026, the Seoul High Court reduced Han Duck-soo's sentence to 15 years in prison, which falls in the 10 years to less than 20 years range.",653d3fe1e1bca61622f5,f0a0cb486338eb04fce3,politics,Seoul High Court appellate sentencing of Han Duck-soo in the 2024 South Korean martial law case,"2026-05-07 | wikipedia_current_events | 2024 South Korean martial law crisis | The Seoul High Court reduces former South Korean prime minister Han Duck-soo 's prison sentence from 23 years to 15 years for crimes related to former president Yoon Suk Yeol 's 2024 martial law declaration, citing a lack of evidence that Han played a leading or premeditated role in the declaration.",https://en.wikipedia.org/wiki/Portal:Current_events/2026_May_7; https://www.channelnewsasia.com/east-asia/south-korea-han-duck-soo-sentence-appeal-martial-law-6105741,,unreviewed,
"As of 2026-05-06, what public diplomatic status will Cambodia and Thailand reach at their ASEAN Summit sideline talks in Cebu by the end of May 7, 2026?","A. Agreement to restore or rebuild bilateral relations; B. Talks occur without a public agreement to restore or rebuild relations; C. No publicly reported leader-level sideline talks occur by the end of May 7, 2026",2026-05-06,A,"On May 7, 2026, Cambodia and Thailand agreed after Philippines-mediated ASEAN sideline talks to restore relations, matching option A.",3188be081c1f884f4e51,c1cefd7ab3682aa72cc8,politics,Cambodia-Thailand ASEAN Summit sideline talks on restoring relations,2026-05-07 | wikipedia_current_events | 2025 Cambodian–Thai border crisis | Cambodia and Thailand agree to restore relations following talks mediated by the Philippines on the sidelines of the 48th ASEAN Summit in Cebu. (Bangkok Post),https://en.wikipedia.org/wiki/Portal:Current_events/2026_May_7; https://www.bangkokpost.com/thailand/general/3251378/leaders-vow-to-rebuild-relations; https://www.reuters.com/world/asia-pacific/thai-cambodian-leaders-meet-asean-sidelines-amid-uneasy-truce-2026-05-07/,,unreviewed,
"As of 2026-05-06, how many seats will El Salvador's Legislative Assembly allocate to an overseas constituency for Salvadoran expatriates in the 60-seat legislature?",A. 0 seats; B. 1-3 seats; C. 4-6 seats; D. 7 or more seats,2026-05-06,C,"On May 7, 2026, the Legislative Assembly approved a constitutional reform creating an overseas constituency allocated 6 seats, which falls in the 4-6 seats range.",ec4e5a52167eeffa6ba7,7734355deaf9e1f293ea,politics,El Salvador overseas constituency seat allocation reform,2026-05-07 | wikipedia_current_events | 2027 Salvadoran legislative election | The Legislative Assembly of El Salvador approves a constitutional reform that establishes an overseas constituency for Salvadoran expatriates. The constituency is allocated 6 seats in the 60-seat legislature.,https://en.wikipedia.org/wiki/Portal:Current_events/2026_May_7; https://www.laprensagrafica.com/elsalvador/cuantos-diputados-tendra-la-diaspora-salvadorena-20260507-0068.html,,unreviewed,
